# Time-averaged data for fix myfile
# TimeStep v_tot_pe v_tot_vol v_tot_density
6000000 -4.56019 1081.95 0.924256
6010000 -4.43003 1082.45 0.92383
6020000 -4.57049 1082.94 0.923411
6030000 -4.5405 1083.43 0.922997
6040000 -4.53639 1083.91 0.92259
6050000 -4.65419 1084.38 0.922189
6060000 -4.52719 1084.84 0.921794
6070000 -4.70254 1085.3 0.921406
6080000 -4.6687 1085.75 0.921023
6090000 -4.65382 1086.19 0.920647
6100000 -4.48248 1086.63 0.920276
6110000 -4.55448 1087.06 0.919911
6120000 -4.54067 1087.49 0.919553
6130000 -4.62211 1087.9 0.9192
6140000 -4.63386 1088.31 0.918853
6150000 -4.55842 1088.72 0.918512
6160000 -4.62601 1089.11 0.918177
6170000 -4.68899 1089.51 0.917847
6180000 -4.59093 1089.89 0.917523
6190000 -4.63045 1090.27 0.917205
6200000 -4.62057 1090.64 0.916892
6210000 -4.59472 1091.01 0.916585
6220000 -4.56628 1091.37 0.916283
6230000 -4.63577 1091.72 0.915987
6240000 -4.64019 1092.06 0.915696
6250000 -4.69364 1092.41 0.915411
6260000 -4.5351 1092.74 0.915131
6270000 -4.48525 1093.07 0.914856
6280000 -4.49745 1093.39 0.914586
6290000 -4.52102 1093.71 0.914322
6300000 -4.53188 1094.02 0.914062
6310000 -4.52795 1094.32 0.913807
6320000 -4.47215 1094.62 0.913556
6330000 -4.62916 1094.92 0.913311
6340000 -4.56977 1095.21 0.91307
6350000 -4.57263 1095.49 0.912833
6360000 -4.62583 1095.77 0.912601
6370000 -4.55724 1096.04 0.912374
6380000 -4.61261 1096.31 0.912151
6390000 -4.55845 1096.57 0.911933
6400000 -4.71749 1096.83 0.911719
6410000 -4.59169 1097.08 0.911509
6420000 -4.54102 1097.33 0.911303
6430000 -4.53754 1097.57 0.911102
6440000 -4.48759 1097.81 0.910905
6450000 -4.51724 1098.04 0.910712
6460000 -4.57486 1098.27 0.910523
6470000 -4.61025 1098.49 0.910337
6480000 -4.56568 1098.71 0.910156
6490000 -4.49219 1098.93 0.909978
6500000 -4.53081 1099.14 0.909804
6510000 -4.56331 1099.34 0.909634
6520000 -4.65315 1099.54 0.909468
6530000 -4.58387 1099.74 0.909305
6540000 -4.42184 1099.93 0.909145
6550000 -4.57442 1100.12 0.908989
6560000 -4.48755 1100.31 0.908836
6570000 -4.55822 1100.49 0.908687
6580000 -4.62765 1100.67 0.908541
6590000 -4.64301 1100.84 0.908399
6600000 -4.68463 1101.01 0.908261
6610000 -4.64778 1101.17 0.908125
6620000 -4.61667 1101.33 0.907993
6630000 -4.54157 1101.49 0.907865
6640000 -4.49294 1101.64 0.907739
6650000 -4.4479 1101.79 0.907617
6660000 -4.51927 1101.93 0.907498
6670000 -4.51874 1102.07 0.907382
6680000 -4.51111 1102.21 0.907268
6690000 -4.63936 1102.34 0.907157
6700000 -4.60406 1102.48 0.907049
6710000 -4.59352 1102.6 0.906945
6720000 -4.49677 1102.73 0.906843
6730000 -4.50133 1102.85 0.906744
6740000 -4.54694 1102.97 0.906647
6750000 -4.5723 1103.08 0.906553
6760000 -4.53603 1103.19 0.906461
6770000 -4.67682 1103.3 0.906372
6780000 -4.55848 1103.41 0.906285
6790000 -4.59718 1103.51 0.906201
6800000 -4.60006 1103.61 0.90612
6810000 -4.56101 1103.7 0.906042
6820000 -4.59403 1103.79 0.905966
6830000 -4.48646 1103.88 0.905892
6840000 -4.48791 1103.97 0.905821
6850000 -4.51514 1104.05 0.905753
6860000 -4.58854 1104.14 0.905686
6870000 -4.61147 1104.21 0.905622
6880000 -4.48829 1104.29 0.90556
6890000 -4.51183 1104.36 0.905499
6900000 -4.54952 1104.43 0.905441
6910000 -4.58341 1104.5 0.905385
6920000 -4.52923 1104.57 0.905331
6930000 -4.51866 1104.63 0.905279
6940000 -4.43354 1104.69 0.905229
6950000 -4.48537 1104.75 0.90518
6960000 -4.4664 1104.81 0.905134
6970000 -4.52995 1104.86 0.905089
6980000 -4.50491 1104.91 0.905047
6990000 -4.59924 1104.96 0.905007
7000000 -4.47912 1105.01 0.904969
7010000 -4.54235 1105.05 0.904932
7020000 -4.55672 1105.1 0.904898
7030000 -4.46937 1105.14 0.904865
7040000 -4.47817 1105.18 0.904833
7050000 -4.54153 1105.21 0.904804
7060000 -4.6446 1105.25 0.904775
7070000 -4.46152 1105.28 0.904749
7080000 -4.42115 1105.31 0.904724
7090000 -4.63695 1105.34 0.9047
7100000 -4.45569 1105.37 0.904678
7110000 -4.50564 1105.39 0.904658
7120000 -4.51591 1105.41 0.90464
7130000 -4.48801 1105.43 0.904623
7140000 -4.53341 1105.45 0.904607
7150000 -4.55142 1105.47 0.904593
7160000 -4.56372 1105.49 0.90458
7170000 -4.65803 1105.5 0.904569
7180000 -4.5836 1105.51 0.90456
7190000 -4.5369 1105.52 0.904552
7200000 -4.52409 1105.53 0.904545
7210000 -4.67766 1105.53 0.90454
7220000 -4.6348 1105.54 0.904536
7230000 -4.52602 1105.54 0.904533
7240000 -4.49236 1105.55 0.904531
7250000 -4.45167 1105.55 0.90453
7260000 -4.58024 1105.55 0.90453
7270000 -4.51244 1105.54 0.904532
7280000 -4.5732 1105.54 0.904535
7290000 -4.54114 1105.54 0.904539
7300000 -4.60201 1105.53 0.904544
7310000 -4.5595 1105.52 0.90455
7320000 -4.57421 1105.51 0.904558
7330000 -4.54783 1105.5 0.904566
7340000 -4.59942 1105.49 0.904576
7350000 -4.546 1105.48 0.904587
7360000 -4.48682 1105.46 0.904599
7370000 -4.58349 1105.45 0.904612
7380000 -4.54227 1105.43 0.904626
7390000 -4.4864 1105.41 0.904641
7400000 -4.58612 1105.39 0.904657
7410000 -4.57329 1105.37 0.904673
7420000 -4.50063 1105.35 0.904691
7430000 -4.49388 1105.33 0.904709
7440000 -4.62613 1105.3 0.904728
7450000 -4.58057 1105.28 0.904748
7460000 -4.63674 1105.26 0.904768
7470000 -4.55863 1105.23 0.90479
7480000 -4.46207 1105.2 0.904812
7490000 -4.56181 1105.17 0.904835
7500000 -4.66611 1105.14 0.904859
7510000 -4.55264 1105.11 0.904884
7520000 -4.58188 1105.08 0.904909
7530000 -4.66409 1105.05 0.904936
7540000 -4.55536 1105.02 0.904963
7550000 -4.46236 1104.98 0.904992
7560000 -4.51435 1104.95 0.90502
7570000 -4.55301 1104.91 0.90505
7580000 -4.54361 1104.88 0.905079
7590000 -4.66412 1104.84 0.90511
7600000 -4.58284 1104.8 0.905141
7610000 -4.55399 1104.76 0.905172
7620000 -4.54845 1104.72 0.905205
7630000 -4.60249 1104.68 0.905237
7640000 -4.5792 1104.64 0.90527
7650000 -4.53932 1104.6 0.905304
7660000 -4.60579 1104.56 0.905339
7670000 -4.57563 1104.52 0.905373
7680000 -4.58477 1104.47 0.905408
7690000 -4.62771 1104.43 0.905444
7700000 -4.50921 1104.39 0.90548
7710000 -4.49394 1104.34 0.905517
7720000 -4.57313 1104.3 0.905554
7730000 -4.57265 1104.25 0.905592
7740000 -4.54068 1104.2 0.905631
7750000 -4.48062 1104.15 0.90567
7760000 -4.52786 1104.11 0.90571
7770000 -4.64635 1104.06 0.905749
7780000 -4.60397 1104.01 0.90579
7790000 -4.54964 1103.96 0.90583
7800000 -4.53866 1103.91 0.905872
7810000 -4.52658 1103.86 0.905913
7820000 -4.57502 1103.81 0.905955
7830000 -4.5403 1103.76 0.905998
7840000 -4.5855 1103.7 0.90604
7850000 -4.58313 1103.65 0.906084
7860000 -4.59256 1103.6 0.906128
7870000 -4.601 1103.54 0.906172
7880000 -4.4994 1103.49 0.906217
7890000 -4.56274 1103.43 0.906263
7900000 -4.52768 1103.38 0.906309
7910000 -4.59521 1103.32 0.906355
7920000 -4.70675 1103.26 0.906402
7930000 -4.52318 1103.21 0.906449
7940000 -4.5178 1103.15 0.906497
7950000 -4.48231 1103.09 0.906546
7960000 -4.42467 1103.03 0.906594
7970000 -4.4669 1102.97 0.906643
7980000 -4.72622 1102.91 0.906692
7990000 -4.583 1102.85 0.906741
8000000 -4.60746 1102.79 0.90679
8010000 -4.57937 1102.73 0.906839
8020000 -4.54229 1102.67 0.906889
8030000 -4.49194 1102.61 0.906938
8040000 -4.55327 1102.55 0.906988
8050000 -4.49514 1102.49 0.907037
8060000 -4.49359 1102.43 0.907087
8070000 -4.56178 1102.37 0.907137
8080000 -4.54876 1102.31 0.907188
8090000 -4.62445 1102.25 0.907238
8100000 -4.50427 1102.18 0.90729
8110000 -4.51997 1102.12 0.907341
8120000 -4.56383 1102.06 0.907392
8130000 -4.67959 1102 0.907444
8140000 -4.65127 1101.93 0.907496
8150000 -4.46867 1101.87 0.907548
8160000 -4.52505 1101.81 0.9076
8170000 -4.61946 1101.74 0.907652
8180000 -4.59277 1101.68 0.907705
8190000 -4.55328 1101.62 0.907757
8200000 -4.5931 1101.55 0.90781
8210000 -4.52903 1101.49 0.907863
8220000 -4.55113 1101.42 0.907916
8230000 -4.46639 1101.36 0.90797
8240000 -4.57694 1101.29 0.908024
8250000 -4.58027 1101.23 0.908077
8260000 -4.50478 1101.16 0.908131
8270000 -4.54934 1101.1 0.908184
8280000 -4.60215 1101.03 0.908237
8290000 -4.59563 1100.97 0.908291
8300000 -4.52036 1100.9 0.908345
8310000 -4.66166 1100.84 0.908398
8320000 -4.57029 1100.77 0.908452
8330000 -4.61727 1100.71 0.908506
8340000 -4.50224 1100.64 0.908559
8350000 -4.6098 1100.58 0.908613
8360000 -4.51792 1100.51 0.908667
8370000 -4.49605 1100.45 0.908721
8380000 -4.55822 1100.38 0.908775
8390000 -4.57778 1100.32 0.90883
8400000 -4.56992 1100.25 0.908884
8410000 -4.70023 1100.18 0.908939
8420000 -4.53691 1100.12 0.908993
8430000 -4.49408 1100.05 0.909047
8440000 -4.46421 1099.99 0.909101
8450000 -4.49239 1099.92 0.909156
8460000 -4.58949 1099.86 0.90921
8470000 -4.53544 1099.79 0.909263
8480000 -4.60124 1099.73 0.909317
8490000 -4.63773 1099.66 0.909371
8500000 -4.7502 1099.6 0.909425
8510000 -4.59948 1099.53 0.909479
8520000 -4.52896 1099.47 0.909533
8530000 -4.48812 1099.4 0.909587
8540000 -4.64278 1099.34 0.90964
8550000 -4.69391 1099.27 0.909694
8560000 -4.54155 1099.21 0.909748
8570000 -4.52507 1099.14 0.909801
8580000 -4.46198 1099.08 0.909855
8590000 -4.50479 1099.01 0.909909
8600000 -4.55561 1098.95 0.909963
8610000 -4.54365 1098.88 0.910017
8620000 -4.47005 1098.82 0.91007
8630000 -4.56236 1098.75 0.910123
8640000 -4.59887 1098.69 0.910176
8650000 -4.55552 1098.62 0.910229
8660000 -4.58408 1098.56 0.910282
8670000 -4.68898 1098.5 0.910335
8680000 -4.59394 1098.43 0.910388
8690000 -4.66408 1098.37 0.910441
8700000 -4.53811 1098.31 0.910494
8710000 -4.53293 1098.24 0.910546
8720000 -4.59547 1098.18 0.910598
8730000 -4.55741 1098.12 0.910651
8740000 -4.69247 1098.05 0.910703
8750000 -4.42264 1097.99 0.910755
8760000 -4.51588 1097.93 0.910808
8770000 -4.60274 1097.86 0.91086
8780000 -4.53066 1097.8 0.910913
8790000 -4.48663 1097.74 0.910965
8800000 -4.59756 1097.67 0.911017
8810000 -4.59219 1097.61 0.911069
8820000 -4.47389 1097.55 0.911121
8830000 -4.57747 1097.49 0.911173
8840000 -4.53681 1097.42 0.911225
8850000 -4.54685 1097.36 0.911276
8860000 -4.51821 1097.3 0.911327
8870000 -4.60872 1097.24 0.911378
8880000 -4.58698 1097.18 0.911429
8890000 -4.69916 1097.12 0.91148
8900000 -4.64208 1097.06 0.911531
8910000 -4.5994 1096.99 0.911582
8920000 -4.42943 1096.93 0.911633
8930000 -4.56899 1096.87 0.911683
8940000 -4.58653 1096.81 0.911734
8950000 -4.63205 1096.75 0.911784
8960000 -4.4704 1096.69 0.911834
8970000 -4.5597 1096.63 0.911884
8980000 -4.59514 1096.57 0.911933
8990000 -4.60514 1096.51 0.911983
9000000 -4.55799 1096.45 0.912032
9010000 -4.60273 1096.39 0.91208
9020000 -4.56781 1096.34 0.912129
9030000 -4.58988 1096.28 0.912178
9040000 -4.59987 1096.22 0.912226
9050000 -4.60139 1096.16 0.912274
9060000 -4.49328 1096.1 0.912322
9070000 -4.49959 1096.05 0.912369
9080000 -4.54027 1095.99 0.912416
9090000 -4.59055 1095.93 0.912463
9100000 -4.52286 1095.88 0.91251
9110000 -4.43391 1095.82 0.912556
9120000 -4.58215 1095.77 0.912603
9130000 -4.59864 1095.71 0.912649
9140000 -4.65802 1095.66 0.912695
9150000 -4.69264 1095.6 0.912741
9160000 -4.53052 1095.55 0.912787
9170000 -4.51496 1095.49 0.912833
9180000 -4.60532 1095.44 0.912879
9190000 -4.63342 1095.38 0.912924
9200000 -4.54418 1095.33 0.912969
9210000 -4.49668 1095.27 0.913014
9220000 -4.52754 1095.22 0.913058
9230000 -4.53541 1095.17 0.913102
9240000 -4.54395 1095.12 0.913146
9250000 -4.41313 1095.06 0.91319
9260000 -4.63273 1095.01 0.913233
9270000 -4.71352 1094.96 0.913276
9280000 -4.60201 1094.91 0.913319
9290000 -4.63447 1094.86 0.913362
9300000 -4.54882 1094.8 0.913406
9310000 -4.48901 1094.75 0.913449
9320000 -4.47982 1094.7 0.913492
9330000 -4.49856 1094.65 0.913534
9340000 -4.58934 1094.6 0.913576
9350000 -4.61116 1094.55 0.913618
9360000 -4.55809 1094.5 0.91366
9370000 -4.51894 1094.45 0.913701
9380000 -4.60087 1094.4 0.913742
9390000 -4.48113 1094.35 0.913783
9400000 -4.47896 1094.3 0.913824
9410000 -4.63514 1094.25 0.913865
9420000 -4.62221 1094.21 0.913905
9430000 -4.67218 1094.16 0.913945
9440000 -4.60652 1094.11 0.913986
9450000 -4.51859 1094.06 0.914026
9460000 -4.51437 1094.01 0.914065
9470000 -4.57627 1093.97 0.914105
9480000 -4.61795 1093.92 0.914144
9490000 -4.61983 1093.87 0.914183
9500000 -4.55044 1093.83 0.914222
9510000 -4.50405 1093.78 0.914261
9520000 -4.44958 1093.73 0.9143
9530000 -4.49184 1093.69 0.914339
9540000 -4.59296 1093.64 0.914377
9550000 -4.60617 1093.59 0.914416
9560000 -4.57642 1093.55 0.914454
9570000 -4.65613 1093.5 0.914492
9580000 -4.62287 1093.46 0.91453
9590000 -4.585 1093.41 0.914567
9600000 -4.53963 1093.37 0.914605
9610000 -4.60981 1093.32 0.914642
9620000 -4.53781 1093.28 0.914679
9630000 -4.66165 1093.24 0.914716
9640000 -4.6362 1093.19 0.914753
9650000 -4.68154 1093.15 0.91479
9660000 -4.6503 1093.1 0.914827
9670000 -4.58116 1093.06 0.914864
9680000 -4.43976 1093.01 0.914901
9690000 -4.55707 1092.97 0.914937
9700000 -4.52143 1092.93 0.914974
9710000 -4.5928 1092.88 0.91501
9720000 -4.5696 1092.84 0.915046
9730000 -4.59247 1092.8 0.915082
9740000 -4.54226 1092.76 0.915117
9750000 -4.4472 1092.71 0.915153
9760000 -4.65122 1092.67 0.915188
9770000 -4.55316 1092.63 0.915223
9780000 -4.52758 1092.59 0.915258
9790000 -4.56235 1092.55 0.915292
9800000 -4.64629 1092.51 0.915327
9810000 -4.59239 1092.46 0.915362
9820000 -4.58228 1092.42 0.915396
9830000 -4.53879 1092.38 0.915431
9840000 -4.50759 1092.34 0.915465
9850000 -4.59721 1092.3 0.915499
9860000 -4.54145 1092.26 0.915533
9870000 -4.51314 1092.22 0.915567
9880000 -4.62398 1092.18 0.9156
9890000 -4.6022 1092.14 0.915634
9900000 -4.60032 1092.1 0.915667
9910000 -4.579 1092.06 0.915699
9920000 -4.57358 1092.02 0.915731
9930000 -4.65536 1091.99 0.915763
9940000 -4.61144 1091.95 0.915795
9950000 -4.57761 1091.91 0.915827
9960000 -4.52362 1091.87 0.915858
9970000 -4.51148 1091.83 0.91589
9980000 -4.44102 1091.8 0.915921
9990000 -4.4964 1091.76 0.915951
10000000 -4.51263 1091.73 0.915981
10010000 -4.602 1091.69 0.916011
10020000 -4.49797 1091.65 0.916041
10030000 -4.66105 1091.62 0.916071
10040000 -4.56471 1091.58 0.9161
10050000 -4.49389 1091.55 0.916129
10060000 -4.58707 1091.51 0.916159
10070000 -4.608 1091.48 0.916188
10080000 -4.61072 1091.44 0.916217
10090000 -4.58565 1091.41 0.916247
10100000 -4.60949 1091.37 0.916276
10110000 -4.52075 1091.34 0.916305
10120000 -4.51108 1091.31 0.916333
10130000 -4.58651 1091.27 0.916362
10140000 -4.54606 1091.24 0.91639
10150000 -4.66957 1091.2 0.916419
10160000 -4.67726 1091.17 0.916447
10170000 -4.49338 1091.14 0.916476
10180000 -4.45208 1091.1 0.916504
10190000 -4.46877 1091.07 0.916532
10200000 -4.44776 1091.04 0.91656
10210000 -4.67776 1091 0.916588
10220000 -4.5896 1090.97 0.916615
10230000 -4.64722 1090.94 0.916642
10240000 -4.61908 1090.91 0.916669
10250000 -4.58884 1090.87 0.916696
10260000 -4.41578 1090.84 0.916722
10270000 -4.54022 1090.81 0.916748
10280000 -4.54199 1090.78 0.916774
10290000 -4.50846 1090.75 0.9168
10300000 -4.62505 1090.72 0.916825
10310000 -4.65269 1090.69 0.916851
10320000 -4.63969 1090.66 0.916877
10330000 -4.6195 1090.63 0.916902
10340000 -4.59368 1090.6 0.916927
10350000 -4.51333 1090.57 0.916952
10360000 -4.47138 1090.54 0.916976
10370000 -4.50652 1090.51 0.917001
10380000 -4.47294 1090.48 0.917025
10390000 -4.48012 1090.45 0.91705
10400000 -4.58662 1090.42 0.917074
10410000 -4.50586 1090.4 0.917098
10420000 -4.57492 1090.37 0.917122
10430000 -4.71223 1090.34 0.917146
10440000 -4.56259 1090.31 0.917169
10450000 -4.58233 1090.28 0.917193
10460000 -4.5004 1090.25 0.917217
10470000 -4.62434 1090.23 0.917241
10480000 -4.59671 1090.2 0.917265
10490000 -4.56875 1090.17 0.917289
10500000 -4.61595 1090.14 0.917313
10510000 -4.55949 1090.11 0.917336
10520000 -4.46176 1090.08 0.91736
