# Time-averaged data for fix 3
# TimeStep c_Q6
6000000 0.0759558
6010000 0.0753921
6020000 0.0763269
6030000 0.0763868
6040000 0.076896
6050000 0.0764473
6060000 0.0762345
6070000 0.0771296
6080000 0.0769728
6090000 0.0773901
6100000 0.0762685
6110000 0.0764188
6120000 0.0759431
6130000 0.0772533
6140000 0.0754458
6150000 0.0773932
6160000 0.0776239
6170000 0.0768439
6180000 0.0762251
6190000 0.0771069
6200000 0.0761516
6210000 0.0768346
6220000 0.0768696
6230000 0.0777101
6240000 0.0768787
6250000 0.0770943
6260000 0.0763049
6270000 0.0757196
6280000 0.0771224
6290000 0.0757973
6300000 0.0763604
6310000 0.0768028
6320000 0.0769849
6330000 0.0770464
6340000 0.0765796
6350000 0.0765722
6360000 0.0765302
6370000 0.0767691
6380000 0.0762039
6390000 0.0770818
6400000 0.0769352
6410000 0.0758306
6420000 0.076513
6430000 0.0777442
6440000 0.0774444
6450000 0.0779441
6460000 0.077317
6470000 0.0773817
6480000 0.0756704
6490000 0.0766788
6500000 0.0773051
6510000 0.0771146
6520000 0.0779816
6530000 0.0768607
6540000 0.0767042
6550000 0.0764234
6560000 0.0760877
6570000 0.0773392
6580000 0.0780752
6590000 0.0767144
6600000 0.0777488
6610000 0.0762964
6620000 0.0776729
6630000 0.0772762
6640000 0.0776788
6650000 0.0763237
6660000 0.0764437
6670000 0.0778478
6680000 0.0777793
6690000 0.0772014
6700000 0.0771613
6710000 0.0780454
6720000 0.0769927
6730000 0.0772153
6740000 0.0773496
6750000 0.0775303
6760000 0.0776599
6770000 0.077139
6780000 0.0778076
6790000 0.0783954
6800000 0.0773051
6810000 0.0774116
6820000 0.0782634
6830000 0.0763554
6840000 0.0786852
6850000 0.0785242
6860000 0.0772958
6870000 0.0765881
6880000 0.0786919
6890000 0.0771112
6900000 0.0772066
6910000 0.0767118
6920000 0.0779752
6930000 0.0776161
6940000 0.078103
6950000 0.0771282
6960000 0.0769656
6970000 0.0782229
6980000 0.0759719
6990000 0.0765348
7000000 0.0759281
7010000 0.0764637
7020000 0.077293
7030000 0.0770269
7040000 0.0767634
7050000 0.0781642
7060000 0.0776394
7070000 0.0773277
7080000 0.07739
7090000 0.0774514
7100000 0.0761669
7110000 0.0780576
7120000 0.0770537
7130000 0.0773247
7140000 0.0764532
7150000 0.0766791
7160000 0.0781651
7170000 0.0777922
7180000 0.0774612
7190000 0.077047
7200000 0.076932
7210000 0.0784639
7220000 0.076797
7230000 0.0779134
7240000 0.0766411
7250000 0.0771647
7260000 0.0757735
7270000 0.0768213
7280000 0.0770132
7290000 0.0766802
7300000 0.0774827
7310000 0.0755018
7320000 0.0778047
7330000 0.0766398
7340000 0.0770427
7350000 0.0779284
7360000 0.0776401
7370000 0.0775035
7380000 0.0771058
7390000 0.0773357
7400000 0.0774308
7410000 0.0757466
7420000 0.0775473
7430000 0.0780803
7440000 0.0776856
7450000 0.0767548
7460000 0.0777205
7470000 0.0773903
7480000 0.0773296
7490000 0.0762452
7500000 0.0774639
7510000 0.0775688
7520000 0.0786763
7530000 0.0784435
7540000 0.0768772
7550000 0.0785218
7560000 0.0760574
7570000 0.0779605
7580000 0.0774064
7590000 0.0781314
7600000 0.0770505
7610000 0.0782413
7620000 0.0780583
7630000 0.0774822
7640000 0.0775421
7650000 0.0766105
7660000 0.077607
7670000 0.0771916
7680000 0.0780117
7690000 0.077339
7700000 0.0772148
7710000 0.0770604
7720000 0.077941
7730000 0.0768835
7740000 0.0780978
7750000 0.0758403
7760000 0.0766794
7770000 0.0778274
7780000 0.0767052
7790000 0.0767814
7800000 0.076441
7810000 0.0764478
7820000 0.0771912
7830000 0.0759332
7840000 0.0762833
7850000 0.0771364
7860000 0.0777831
7870000 0.0768793
7880000 0.0776644
7890000 0.0775179
7900000 0.0766393
7910000 0.0776807
7920000 0.0765477
7930000 0.0766516
7940000 0.0773252
7950000 0.0774302
7960000 0.0767878
7970000 0.0769
7980000 0.0769691
7990000 0.0769079
8000000 0.0769209
8010000 0.0769654
8020000 0.0778776
8030000 0.0776818
8040000 0.0770915
8050000 0.0762996
8060000 0.0770941
8070000 0.0768959
8080000 0.0753419
8090000 0.0770386
8100000 0.0766086
8110000 0.0771384
8120000 0.0758946
8130000 0.077751
8140000 0.077707
8150000 0.0765754
8160000 0.0784562
8170000 0.075666
8180000 0.0770793
8190000 0.0770811
8200000 0.0770648
8210000 0.0774947
8220000 0.0775876
8230000 0.0762793
8240000 0.0775665
8250000 0.0764934
8260000 0.0769178
8270000 0.0779773
8280000 0.0771319
8290000 0.0767065
8300000 0.0764702
8310000 0.0766056
8320000 0.0781708
8330000 0.0774241
8340000 0.0756347
8350000 0.0760226
8360000 0.0778304
8370000 0.0770096
8380000 0.0751114
8390000 0.0784575
8400000 0.0775006
8410000 0.0780921
8420000 0.0764891
8430000 0.0753527
8440000 0.0759555
