# Time-averaged data for fix 4
# TimeStep c_Press
6000000 11.33
6010000 11.8982
6020000 11.2455
6030000 11.2988
6040000 11.2571
6050000 10.6761
6060000 11.3298
6070000 10.4042
6080000 10.5664
6090000 10.681
6100000 11.4202
6110000 11.161
6120000 11.1254
6130000 10.7029
6140000 10.5415
6150000 10.9855
6160000 10.6908
6170000 10.3443
6180000 10.6294
6190000 10.4929
6200000 10.5821
6210000 10.7808
6220000 10.8418
6230000 10.4684
6240000 10.3646
6250000 10.1639
6260000 10.8013
6270000 11.0748
6280000 11.1158
6290000 10.9502
6300000 10.8229
6310000 10.7804
6320000 10.9843
6330000 10.4291
6340000 10.5648
6350000 10.5933
6360000 10.3854
6370000 10.546
6380000 10.2989
6390000 10.5619
6400000 9.87143
6410000 10.2619
6420000 10.6442
6430000 10.7286
6440000 10.8974
6450000 10.9032
6460000 10.4062
6470000 10.2639
6480000 10.5297
6490000 10.8748
6500000 10.6266
6510000 10.3545
6520000 10.0427
6530000 10.2262
6540000 11.1129
6550000 10.4927
6560000 10.7761
6570000 10.385
6580000 10.0516
6590000 9.87219
6600000 9.78987
6610000 9.92349
6620000 10.0687
6630000 10.5032
6640000 10.6086
6650000 10.8914
6660000 10.5931
6670000 10.5521
6680000 10.4452
6690000 9.8639
6700000 9.94506
6710000 10.2435
6720000 10.5892
6730000 10.5566
6740000 10.4581
6750000 10.2361
6760000 10.3877
6770000 9.71955
6780000 10.2325
6790000 9.98306
6800000 10.0259
6810000 10.3442
6820000 10.1325
6830000 10.6052
6840000 10.687
6850000 10.5057
6860000 10.061
6870000 9.94834
6880000 10.5709
6890000 10.4498
6900000 10.1966
6910000 10.0704
6920000 10.3307
6930000 10.3506
6940000 10.7417
6950000 10.617
6960000 10.6031
6970000 10.3451
6980000 10.3599
6990000 9.95977
7000000 10.588
7010000 10.2583
7020000 10.2352
7030000 10.628
7040000 10.5489
7050000 10.2135
7060000 9.84402
7070000 10.6214
7080000 10.7597
7090000 9.75549
7100000 10.6336
7110000 10.5197
7120000 10.4367
7130000 10.7059
7140000 10.2323
7150000 10.1399
7160000 10.0933
7170000 9.66612
7180000 9.98826
7190000 10.1997
7200000 10.284
7210000 9.72761
7220000 9.83288
7230000 10.4306
7240000 10.5939
7250000 10.6232
7260000 10.101
7270000 10.3735
7280000 10.2396
7290000 10.2516
7300000 9.86452
7310000 10.0151
7320000 10.0747
7330000 10.0757
7340000 10.0076
7350000 10.2501
7360000 10.5022
7370000 10.1625
7380000 10.2953
7390000 10.6578
7400000 10.0624
7410000 10.093
7420000 10.4705
7430000 10.5408
7440000 9.89507
7450000 10.0748
7460000 9.79421
7470000 10.1034
7480000 10.6551
7490000 10.1442
7500000 9.72938
7510000 10.1894
7520000 10.0714
7530000 9.75021
7540000 10.2363
7550000 10.7632
7560000 10.4252
7570000 10.2155
7580000 10.2282
7590000 9.67894
7600000 10.1293
7610000 10.2003
7620000 10.3013
7630000 10.0514
7640000 10.1726
7650000 10.2984
7660000 10.0573
7670000 10.1858
7680000 10.1083
7690000 9.80895
7700000 10.4047
7710000 10.6038
7720000 10.2001
7730000 10.2223
7740000 10.2806
7750000 10.6029
7760000 10.4133
7770000 9.89395
7780000 9.92902
7790000 10.2268
7800000 10.3985
7810000 10.3773
7820000 10.0978
7830000 10.273
7840000 10.0555
7850000 9.98393
7860000 10.0199
7870000 10.0434
7880000 10.507
7890000 10.3282
7900000 10.3256
7910000 9.96722
7920000 9.53803
7930000 10.4029
7940000 10.517
7950000 10.6202
7960000 10.9727
7970000 10.7981
7980000 9.55043
7990000 10.1403
8000000 10.0055
8010000 10.1924
8020000 10.4481
8030000 10.715
8040000 10.3429
8050000 10.6058
8060000 10.6691
8070000 10.2509
8080000 10.391
8090000 9.93651
8100000 10.5429
8110000 10.4318
8120000 10.3377
8130000 9.78336
8140000 9.93851
8150000 10.7108
8160000 10.523
8170000 10.0292
8180000 10.0933
8190000 10.3562
8200000 10.2052
8210000 10.5363
8220000 10.434
8230000 10.7332
8240000 10.4522
8250000 10.3803
8260000 10.7085
8270000 10.4349
8280000 10.1413
8290000 10.1067
8300000 10.5764
8310000 9.85624
8320000 10.2766
8330000 10.0771
8340000 10.636
8350000 10.21
8360000 10.5956
8370000 10.7072
8380000 10.3121
8390000 10.3996
8400000 10.3565
8410000 9.73034
8420000 10.4414
8430000 10.6638
8440000 10.8517
8450000 10.758
8460000 10.2778
8470000 10.5022
8480000 10.2117
8490000 10.0078
8500000 9.50173
8510000 10.2752
8520000 10.5887
8530000 10.6832
8540000 10.0444
8550000 9.85259
8560000 10.4916
8570000 10.5961
8580000 10.7718
8590000 10.6999
8600000 10.4871
8610000 10.5592
8620000 11.0014
8630000 10.466
8640000 10.2855
8650000 10.4831
8660000 10.4209
8670000 9.82232
8680000 10.3093
8690000 10.0114
8700000 10.6506
8710000 10.6346
8720000 10.3565
8730000 10.5586
8740000 9.7592
8750000 11.1827
8760000 10.7018
8770000 10.3634
8780000 10.6905
8790000 10.8939
8800000 10.3376
8810000 10.285
8820000 10.7911
8830000 10.4172
8840000 10.6864
8850000 10.5899
8860000 10.8306
8870000 10.326
8880000 10.4167
8890000 9.77384
8900000 10.125
8910000 10.2616
8920000 11.1913
8930000 10.632
8940000 10.5131
8950000 10.2638
8960000 11.0276
8970000 10.6593
8980000 10.4223
8990000 10.4015
9000000 10.5172
9010000 10.3252
9020000 10.5063
9030000 10.3987
9040000 10.3652
9050000 10.3819
9060000 10.881
9070000 10.8486
9080000 10.5977
9090000 10.4666
9100000 10.7764
9110000 11.1626
9120000 10.5957
9130000 10.4233
9140000 10.1048
9150000 9.94921
9160000 10.7987
9170000 10.7648
9180000 10.498
9190000 10.3423
9200000 10.7745
9210000 10.9652
9220000 10.7727
9230000 10.7003
9240000 10.781
9250000 11.337
9260000 10.2932
9270000 9.93507
9280000 10.3438
9290000 10.3343
9300000 10.733
9310000 11.0705
9320000 11.1829
9330000 11.0677
9340000 10.5363
9350000 10.4137
9360000 10.7099
9370000 11.0131
9380000 10.4476
9390000 11.0482
9400000 11.0121
9410000 10.2943
9420000 10.3506
9430000 10.0963
9440000 10.3845
9450000 10.8706
9460000 10.9139
9470000 10.6313
9480000 10.4473
9490000 10.4597
9500000 10.8214
9510000 11.0277
9520000 11.2381
9530000 11.0087
9540000 10.4991
9550000 10.5594
9560000 10.6337
9570000 10.2373
9580000 10.4405
9590000 10.5456
9600000 10.8906
9610000 10.5794
9620000 10.7983
9630000 10.2187
9640000 10.3012
9650000 10.0708
9660000 10.2865
9670000 10.6601
9680000 11.3583
9690000 10.9139
9700000 10.9111
9710000 10.6099
9720000 10.6075
9730000 10.5948
9740000 10.7919
9750000 11.2584
9760000 10.4561
9770000 10.8191
9780000 10.8642
9790000 10.8495
9800000 10.3375
9810000 10.5973
9820000 10.5453
9830000 10.7511
9840000 11.0656
9850000 10.6449
9860000 10.9535
9870000 10.9766
9880000 10.5724
9890000 10.7344
9900000 10.5882
9910000 10.6644
9920000 10.7432
9930000 10.3525
9940000 10.4679
9950000 10.7697
9960000 11.0336
9970000 11.0951
9980000 11.4697
9990000 11.0524
10000000 10.9072
10010000 10.5893
10020000 10.9901
10030000 10.2874
10040000 10.7903
10050000 11.1074
10060000 10.6732
10070000 10.4878
10080000 10.4986
10090000 10.7546
10100000 10.7799
10110000 11.0528
10120000 11.157
10130000 10.7845
10140000 10.9508
10150000 10.2745
10160000 10.2046
10170000 11.0742
10180000 11.2985
10190000 11.3376
10200000 11.4138
10210000 10.3154
10220000 10.6497
10230000 10.3255
10240000 10.4788
10250000 10.7276
10260000 11.5015
10270000 10.9654
10280000 10.9446
10290000 11.0918
10300000 10.5237
10310000 10.3085
10320000 10.4676
10330000 10.564
10340000 10.6362
10350000 11.0282
10360000 11.1354
10370000 11.0989
10380000 11.1728
10390000 11.2317
10400000 10.7276
10410000 10.9367
10420000 10.7911
10430000 10.143
10440000 10.7832
10450000 10.8632
10460000 11.0648
10470000 10.5681
10480000 10.6245
10490000 10.7926
10500000 10.6184
10510000 10.8818
10520000 11.3166
10530000 10.9221
10540000 10.8911
10550000 10.573
10560000 10.8448
10570000 10.3122
10580000 10.5163
10590000 10.6409
10600000 10.9784
10610000 10.9451
10620000 10.5906
10630000 10.9238
10640000 10.5754
10650000 10.7626
10660000 10.8732
10670000 11.0672
10680000 10.7188
10690000 10.5822
10700000 10.791
10710000 10.8528
10720000 10.7112
10730000 10.7334
10740000 10.7299
10750000 11.1758
10760000 10.6769
10770000 10.8001
10780000 11.2657
10790000 10.9755
10800000 10.9011
10810000 10.9683
10820000 10.6999
10830000 11.015
10840000 10.7644
10850000 10.26
10860000 10.7777
10870000 11.2602
10880000 11.1618
10890000 11.3506
10900000 10.8538
10910000 11.0369
10920000 10.4357
10930000 10.6385
10940000 10.6522
10950000 10.8689
10960000 10.8066
10970000 11.2112
10980000 11.0434
10990000 10.6145
11000000 10.9918
11010000 11.0789
11020000 10.903
11030000 10.8777
11040000 10.8028
11050000 11.9266
11060000 10.755
11070000 10.7374
11080000 10.2982
11090000 10.6463
11100000 10.3395
11110000 10.8391
11120000 10.6822
11130000 11.0823
11140000 10.922
11150000 10.766
11160000 10.9489
11170000 10.9741
11180000 10.9572
11190000 11.5002
11200000 11.4024
11210000 10.4928
11220000 10.3838
11230000 11.1271
11240000 11.4382
11250000 11.0883
11260000 10.9995
11270000 10.8717
11280000 10.9533
11290000 10.8975
11300000 11.4906
11310000 11.631
11320000 11.1519
11330000 10.545
11340000 10.898
11350000 11.0803
11360000 10.8355
11370000 11.0566
11380000 11.2821
11390000 11.4205
11400000 11.4708
11410000 11.0813
11420000 10.5759
11430000 10.8811
11440000 10.609
11450000 10.9181
11460000 11.3657
11470000 10.5363
11480000 10.6496
11490000 10.8265
11500000 10.8119
11510000 11.2767
11520000 10.7268
11530000 10.304
11540000 10.5934
11550000 11.0853
11560000 11.1771
11570000 11.011
11580000 10.5847
11590000 9.87503
11600000 10.4148
11610000 10.8203
11620000 10.8767
11630000 11.2285
11640000 11.1161
11650000 11.159
11660000 10.6465
11670000 11.1016
11680000 11.0927
11690000 11.0959
11700000 11.0887
11710000 10.9398
11720000 10.8016
11730000 10.3056
11740000 10.8222
11750000 10.7975
11760000 10.8199
11770000 11.1226
11780000 11.744
11790000 11.175
11800000 10.9659
11810000 10.8375
11820000 10.6073
11830000 10.6326
11840000 10.9478
11850000 10.9024
11860000 11.555
11870000 11.4519
11880000 11.1627
11890000 10.7438
11900000 10.5634
11910000 10.4053
11920000 10.9411
11930000 11.4903
11940000 11.3576
11950000 11.0779
11960000 11.4508
11970000 10.8445
11980000 10.5232
11990000 11.0882
12000000 10.8561
12010000 11.3433
12020000 10.5769
12030000 11.1367
12040000 10.8227
12050000 11.0109
12060000 11.1479
12070000 10.7282
12080000 10.3393
12090000 10.6135
12100000 10.5531
12110000 10.9034
12120000 11.2995
12130000 11.0847
12140000 11.0722
12150000 11.2052
12160000 10.6965
12170000 10.9396
12180000 10.7151
12190000 11.5235
12200000 11.4594
12210000 10.9971
12220000 10.7947
12230000 11.2396
12240000 10.6477
12250000 10.6952
12260000 10.4367
12270000 10.8535
12280000 11.425
12290000 10.8386
12300000 10.6959
12310000 10.7263
12320000 10.6322
12330000 11.1163
12340000 11.024
12350000 11.0841
12360000 11.285
12370000 11.057
12380000 10.742
12390000 10.9712
12400000 10.8193
12410000 10.9893
12420000 10.7395
12430000 11.0776
12440000 10.8232
12450000 10.4512
12460000 10.8007
12470000 11.0368
12480000 11.0177
12490000 10.7172
12500000 11.5098
12510000 10.7482
12520000 10.9728
12530000 10.7573
12540000 10.6597
12550000 10.9027
12560000 10.5145
12570000 10.9907
12580000 10.702
12590000 11.3676
12600000 10.99
12610000 11.0206
12620000 11.2415
12630000 11.2045
12640000 11.234
12650000 11.3051
12660000 11.082
12670000 10.749
12680000 10.708
12690000 10.4495
12700000 11.2452
12710000 10.6369
12720000 10.6822
12730000 11.3085
12740000 11.5299
12750000 11.2576
12760000 11.0781
12770000 11.2371
12780000 10.915
12790000 10.4039
12800000 10.95
12810000 10.717
12820000 10.9356
12830000 10.7092
12840000 11.1062
12850000 11.1065
12860000 11.3652
12870000 11.1918
12880000 10.8318
12890000 10.8576
12900000 10.6173
12910000 10.4082
12920000 10.6668
12930000 11.2833
12940000 11.3099
12950000 11.2672
12960000 11.138
12970000 11.1439
12980000 10.7192
12990000 11.0749
13000000 10.9702
13010000 11.0598
13020000 11.518
13030000 11.0912
13040000 11.1045
13050000 10.3263
13060000 11.0543
13070000 11.2278
13080000 10.9667
13090000 11.242
13100000 11.416
13110000 11.2549
13120000 11.6171
13130000 10.7893
13140000 10.5678
13150000 10.6091
13160000 10.9349
13170000 11.6665
13180000 10.6633
13190000 10.7585
13200000 11.1875
13210000 10.6839
13220000 10.7806
13230000 10.8995
13240000 11.0719
13250000 10.9106
13260000 10.9534
13270000 11.5372
13280000 11.4338
13290000 10.9891
13300000 10.8517
13310000 11.4022
13320000 11.3536
13330000 10.7822
13340000 11.068
13350000 10.682
13360000 11.1046
13370000 10.8412
13380000 11.1062
13390000 11.7056
13400000 11.3548
13410000 11.1293
13420000 10.7605
13430000 11.0692
13440000 10.9156
13450000 10.9423
13460000 11.4385
13470000 11.6309
13480000 11.2086
13490000 10.5577
13500000 10.9071
13510000 10.7823
13520000 11.0978
13530000 11.1073
13540000 10.8845
13550000 10.8635
13560000 11.058
13570000 10.9042
13580000 10.5134
13590000 10.9756
13600000 11.318
13610000 11.2428
13620000 11.6781
13630000 10.9559
13640000 11.1582
13650000 10.7879
13660000 10.683
13670000 10.5562
13680000 10.7013
13690000 10.9272
13700000 10.8581
13710000 10.7196
13720000 10.9486
13730000 10.7337
13740000 10.6919
13750000 10.7749
13760000 11.0312
13770000 11.3804
13780000 11.1259
13790000 11.3241
13800000 11.0636
13810000 11.1371
13820000 10.7581
13830000 11.6908
13840000 10.6386
13850000 11.3845
13860000 11.3814
13870000 10.8025
13880000 11.0672
13890000 10.8061
13900000 10.949
13910000 11.2182
13920000 11.3515
13930000 10.7141
13940000 10.961
13950000 10.6911
13960000 10.4792
13970000 11.0738
13980000 11.194
13990000 10.6284
14000000 11.039
