# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
1000 0.574114 8.71428 -7.19232 3576.57 1.11874 0.546447
2000 0.91127 8.11952 -6.78705 3722.46 1.07467 0.521858
3000 1.00028 7.98515 -6.64944 3771.5 1.0606 0.512334
4000 1.00471 7.9945 -6.65072 3770.98 1.06074 0.512501
5000 0.998425 7.99873 -6.67802 3762.41 1.06315 0.514651
6000 1.00203 7.9748 -6.66404 3767.99 1.06158 0.513668
7000 1.00167 7.99849 -6.65266 3769.74 1.06108 0.512575
8000 0.995726 8.02726 -6.66705 3764.11 1.06267 0.513838
9000 0.999792 7.99761 -6.66209 3767.28 1.06178 0.51332
10000 1.00272 7.98719 -6.6572 3769.21 1.06123 0.512998
11000 0.992975 8.04697 -6.66116 3764.51 1.06256 0.513687
12000 0.9959 8.0253 -6.6588 3766.47 1.062 0.513826
13000 1.004 7.98101 -6.65844 3769.39 1.06118 0.513171
14000 0.996496 8.01929 -6.66596 3764.7 1.0625 0.513612
15000 1.00087 7.98954 -6.66533 3766.83 1.0619 0.513412
16000 1.00518 7.97423 -6.65979 3769.49 1.06115 0.513384
17000 0.998234 8.00469 -6.66614 3765.58 1.06225 0.513723
18000 0.995251 8.03191 -6.66009 3765.69 1.06222 0.513763
19000 1.00194 8.01839 -6.65779 3767.43 1.06174 0.512745
20000 0.999197 7.95196 -6.67119 3766.81 1.06191 0.513706
21000 0.991541 8.00016 -6.66372 3766.02 1.06213 0.513823
22000 1.00264 8.06283 -6.65666 3765.65 1.06224 0.512948
23000 0.988908 8.02205 -6.67324 3762.38 1.06317 0.514541
24000 1.00419 7.9105 -6.66537 3770.97 1.06074 0.51322
25000 0.99721 8.06472 -6.66738 3762.15 1.06323 0.513698
26000 0.994541 8.00399 -6.65358 3768.88 1.06133 0.512726
27000 1.00382 7.96765 -6.65368 3771.36 1.06063 0.512568
28000 0.996743 8.05355 -6.65959 3764.64 1.06252 0.513281
29000 0.995442 8.03672 -6.66349 3764.53 1.06255 0.51379
30000 1.00375 7.96018 -6.66025 3769.98 1.06101 0.51322
31000 0.992032 8.04878 -6.6677 3762.54 1.06311 0.513854
32000 1.00003 7.94686 -6.66471 3768.98 1.0613 0.51334
33000 1.01129 8.00144 -6.65031 3771.05 1.06072 0.512632
34000 0.997995 8.03438 -6.66117 3765.44 1.06229 0.513398
35000 0.999088 8.02912 -6.66024 3765.89 1.06217 0.51333
36000 0.996359 7.96233 -6.66469 3768.15 1.06153 0.513444
37000 0.987898 7.99156 -6.67628 3762.63 1.06309 0.514176
38000 0.999248 8.0571 -6.66022 3764.57 1.06254 0.513466
39000 1.01206 7.91594 -6.66384 3771.62 1.06055 0.513127
40000 0.991209 8.03487 -6.67485 3761.2 1.06349 0.514391
41000 1.00277 8.02073 -6.65252 3768.89 1.06133 0.512938
42000 0.997586 7.9395 -6.67111 3767.52 1.06171 0.513734
43000 0.997986 8.07526 -6.65354 3765.38 1.06231 0.51366
44000 0.997901 7.95366 -6.67025 3767.12 1.06182 0.513639
45000 1.00877 8.00138 -6.65096 3770.5 1.06087 0.512524
46000 0.996867 7.99884 -6.67271 3763.89 1.06273 0.514153
47000 0.999067 7.97552 -6.66241 3768.27 1.0615 0.513531
48000 1.01433 7.984 -6.66207 3768.64 1.06139 0.513223
49000 0.993862 7.9728 -6.66283 3767.77 1.06164 0.513001
50000 0.996547 8.03034 -6.6598 3765.97 1.06215 0.513795
51000 0.992903 8.01944 -6.67649 3761.56 1.06339 0.514667
52000 1.00148 7.9474 -6.65638 3771.27 1.06065 0.512411
53000 0.997247 8.07197 -6.66132 3763.29 1.0629 0.514219
54000 0.994177 7.97927 -6.6699 3765.59 1.06226 0.513426
55000 0.998357 7.96711 -6.66513 3767.79 1.06163 0.513894
56000 0.990014 8.01515 -6.67712 3761.51 1.06341 0.514051
57000 1.00239 8.03367 -6.66492 3764.52 1.06255 0.513569
58000 1.0008 7.97593 -6.6541 3770.75 1.0608 0.513075
59000 0.998845 7.97315 -6.66414 3767.88 1.06161 0.513383
60000 0.998658 8.04934 -6.65715 3765.94 1.06216 0.513414
61000 0.997049 8.00318 -6.66471 3765.85 1.06218 0.51381
62000 0.997056 8.00123 -6.65985 3767.56 1.0617 0.512739
63000 1.00874 7.98162 -6.66466 3767.95 1.06159 0.513916
64000 0.998165 8.00283 -6.66458 3766.29 1.06206 0.513207
65000 0.999142 7.98223 -6.65692 3769.4 1.06118 0.512633
66000 0.999528 8.00049 -6.67058 3764.63 1.06252 0.514046
67000 0.99096 8.04024 -6.66776 3762.98 1.06299 0.513788
68000 0.998845 8.01086 -6.66387 3766.08 1.06212 0.513786
69000 0.997153 7.92975 -6.67372 3767.49 1.06172 0.513863
70000 1.00355 8.03732 -6.66626 3764.23 1.06264 0.513665
71000 1.0029 7.98439 -6.65308 3770.54 1.06086 0.51242
72000 0.995139 7.98283 -6.67484 3764.03 1.06269 0.514362
73000 1.00259 8.04968 -6.65314 3767.32 1.06177 0.513249
74000 0.997286 7.9219 -6.67098 3768.87 1.06133 0.513949
75000 0.996738 8.0314 -6.66063 3765.73 1.06222 0.513045
76000 1.00418 8.02676 -6.66438 3765.38 1.06231 0.513647
77000 1.00524 8.00166 -6.64855 3771.06 1.06071 0.51276
78000 1.00032 7.99656 -6.65173 3770.18 1.06096 0.512405
79000 1.00453 8.01146 -6.66518 3765.72 1.06221 0.513623
80000 1.00123 8.00168 -6.66489 3766.45 1.06201 0.5138
81000 1.00105 7.94955 -6.66289 3769.66 1.06111 0.513043
82000 0.99631 8.03891 -6.66938 3762.83 1.06303 0.5143
83000 0.996324 7.97891 -6.66908 3766.16 1.06209 0.513963
84000 1.00512 7.97442 -6.66656 3767.36 1.06175 0.514027
85000 0.996227 7.96205 -6.67552 3764.93 1.06244 0.514464
86000 0.995523 8.05337 -6.66825 3762.09 1.06324 0.514079
87000 1.00076 7.92447 -6.66473 3769.96 1.06102 0.512666
88000 1.00656 8.04861 -6.65116 3767.91 1.0616 0.512769
89000 1.00403 7.93785 -6.67197 3767.92 1.0616 0.513977
90000 0.997129 7.9734 -6.66392 3767.71 1.06166 0.513425
91000 1.00095 8.09231 -6.65876 3763.43 1.06287 0.513839
92000 1.00496 7.91048 -6.6654 3770.98 1.06074 0.513698
93000 0.999207 7.95242 -6.67983 3764.52 1.06255 0.514119
94000 0.998411 8.08394 -6.64881 3766.55 1.06199 0.512713
95000 1.00243 7.93639 -6.66873 3768.49 1.06144 0.513405
96000 1.00096 7.98047 -6.65713 3769.51 1.06116 0.512704
97000 0.995167 8.09416 -6.654 3764.42 1.06258 0.513372
98000 0.991187 8.0214 -6.66811 3763.83 1.06275 0.51414
99000 0.993961 7.97716 -6.66253 3767.92 1.06159 0.513125
100000 1.00815 8.02244 -6.65553 3768.28 1.0615 0.513204
101000 0.998911 7.99359 -6.66416 3766.69 1.06194 0.513622
102000 1.00306 7.97391 -6.66056 3768.79 1.06135 0.513084
103000 1.00965 7.97631 -6.66313 3768.74 1.06137 0.513339
104000 0.99371 8.01948 -6.65864 3766.51 1.06199 0.513583
105000 1.00214 8.00756 -6.65988 3767.49 1.06172 0.513311
106000 1.00003 7.99827 -6.66922 3765.3 1.06233 0.513715
107000 1.00402 7.95047 -6.67399 3766.35 1.06204 0.513979
108000 0.99765 7.98957 -6.65907 3768.46 1.06144 0.513491
109000 0.992424 7.98719 -6.67753 3763.12 1.06295 0.51427
110000 0.999399 8.08532 -6.65837 3763.66 1.0628 0.513708
111000 0.997555 7.92318 -6.66123 3771.27 1.06066 0.513236
112000 1.00267 7.98203 -6.67211 3765.12 1.06239 0.514188
113000 1.00036 8.01101 -6.65975 3767.11 1.06182 0.51329
114000 0.996077 8.00748 -6.66585 3765.47 1.06229 0.513709
115000 1.0038 8.01264 -6.66456 3765.97 1.06215 0.513514
116000 1.0038 7.97124 -6.65489 3770.75 1.0608 0.512898
117000 0.999947 8.0111 -6.66184 3766.41 1.06202 0.513297
118000 0.99805 8.0157 -6.66662 3764.74 1.06249 0.513811
119000 1.00006 8.01623 -6.65268 3768.97 1.0613 0.512792
120000 1.0013 7.95526 -6.66201 3769.29 1.06121 0.513304
121000 0.997337 8.02049 -6.67755 3761.67 1.06336 0.514655
122000 1.00262 7.93151 -6.66612 3769.6 1.06112 0.513515
123000 1.00368 8.01274 -6.65777 3767.67 1.06167 0.513595
124000 1.00281 8.02769 -6.65873 3766.54 1.06198 0.513154
125000 0.999323 7.97647 -6.66134 3768.49 1.06143 0.513268
126000 0.998915 8.02582 -6.65608 3767.36 1.06175 0.513015
127000 0.994655 8.02296 -6.65683 3766.98 1.06186 0.512881
128000 0.992426 7.99963 -6.67073 3764.26 1.06263 0.514077
129000 1.00348 8.03347 -6.65486 3767.6 1.06168 0.513002
130000 0.989599 7.97493 -6.67254 3764.96 1.06243 0.51445
131000 1.00377 7.99468 -6.66538 3766.75 1.06193 0.513822
132000 1.00349 7.99732 -6.66583 3766.49 1.062 0.513521
133000 0.994679 7.97917 -6.67084 3765.18 1.06237 0.514351
134000 0.998791 8.06973 -6.65857 3764.55 1.06255 0.513764
135000 1.00208 7.97301 -6.65137 3771.42 1.06061 0.512608
136000 1.00703 7.97606 -6.65466 3770.88 1.06076 0.512844
137000 1.00095 8.02346 -6.6632 3765.69 1.06222 0.514016
138000 1.00381 8.00925 -6.65742 3768.29 1.06149 0.513002
139000 1.00706 7.91657 -6.6594 3772.51 1.06031 0.512828
140000 0.992694 8.09947 -6.66406 3760.93 1.06357 0.514138
141000 0.997735 7.97888 -6.65331 3770.42 1.06089 0.512747
142000 0.995307 8.0353 -6.6591 3765.95 1.06215 0.513519
143000 0.996252 8.06504 -6.66426 3762.96 1.063 0.51383
144000 1.00988 7.92965 -6.65654 3772.76 1.06023 0.512864
145000 0.990954 8.06461 -6.65943 3763.94 1.06272 0.513665
146000 0.999267 7.99959 -6.66581 3766.33 1.06205 0.514031
147000 1.00308 7.95093 -6.6675 3768.02 1.06157 0.513587
148000 0.993953 7.99505 -6.66111 3767.09 1.06183 0.513208
149000 0.998422 8.06533 -6.65917 3764.65 1.06251 0.5136
150000 1.01218 7.9871 -6.64278 3773.97 1.0599 0.512185
151000 1.00219 7.9915 -6.66351 3767.12 1.06182 0.513464
152000 0.993397 7.99401 -6.66904 3764.97 1.06243 0.514
153000 0.99311 8.04327 -6.66131 3764.63 1.06252 0.513463
154000 1.0039 8.02385 -6.65152 3768.92 1.06132 0.512843
155000 1.00142 7.92378 -6.66969 3769.11 1.06126 0.513687
156000 1.00028 8.00817 -6.65768 3767.95 1.0616 0.512926
157000 1.0055 8.03765 -6.663 3765.02 1.06241 0.513484
158000 0.995214 7.99443 -6.66553 3766.27 1.06206 0.513579
159000 0.998012 7.98564 -6.66 3768.36 1.06147 0.513029
160000 0.998599 8.00435 -6.66609 3765.51 1.06228 0.513389
161000 0.9965 8.01039 -6.66752 3764.66 1.06251 0.513968
162000 0.999656 7.9989 -6.65764 3768.26 1.0615 0.513071
163000 1.00284 7.9981 -6.65439 3769.45 1.06117 0.512787
164000 0.996564 8.03173 -6.66121 3765.61 1.06225 0.514051
165000 0.989536 8.02784 -6.67672 3760.97 1.06356 0.514561
166000 1.00217 7.91154 -6.67152 3769.19 1.06124 0.513869
167000 1.00302 8.02865 -6.65398 3767.91 1.0616 0.512923
168000 1.00442 7.99592 -6.66712 3766.25 1.06207 0.513722
169000 0.994063 7.95919 -6.66341 3768.46 1.06145 0.513579
170000 1.00605 8.08374 -6.64369 3768.42 1.06147 0.512881
171000 0.992559 8.0122 -6.66577 3764.92 1.06244 0.513424
172000 0.997064 7.96399 -6.6619 3768.91 1.06132 0.513558
173000 1.00394 8.02454 -6.66664 3764.62 1.06253 0.513796
174000 0.998229 7.99832 -6.66536 3766.15 1.0621 0.513777
175000 0.995939 7.98113 -6.66427 3767.09 1.06183 0.513886
176000 0.996827 8.03909 -6.66401 3764.31 1.06261 0.51346
177000 0.99784 7.98539 -6.67011 3765.39 1.06231 0.514335
178000 1.00301 7.93734 -6.6686 3768.6 1.0614 0.513276
179000 1.00526 7.97668 -6.6612 3768.82 1.06135 0.512925
180000 0.996085 8.05635 -6.65773 3764.91 1.06244 0.513123
181000 0.997544 7.96915 -6.66172 3768.67 1.06138 0.512873
182000 1.00092 8.04522 -6.65258 3767.27 1.06179 0.512845
183000 0.996789 7.9909 -6.67509 3763.81 1.06276 0.514338
184000 0.993025 7.96383 -6.67678 3764.38 1.0626 0.514031
185000 0.996621 8.0102 -6.66479 3765.72 1.06222 0.513206
186000 0.989318 8.005 -6.67624 3762.26 1.06319 0.51463
187000 1.00101 8.00042 -6.67328 3764.09 1.06268 0.514002
188000 0.99964 7.93986 -6.66782 3768.46 1.06144 0.513917
189000 1.00506 7.98166 -6.66274 3768.14 1.06154 0.513471
190000 0.994844 8.03463 -6.66752 3763.49 1.06285 0.514185
191000 0.994389 7.99482 -6.66911 3765.04 1.06241 0.513455
192000 0.998857 8.01406 -6.65809 3767.36 1.06176 0.51293
193000 1.00908 7.97267 -6.65505 3770.93 1.06075 0.513096
194000 1.00095 7.97983 -6.6607 3768.52 1.06143 0.513065
195000 0.999999 8.03157 -6.65629 3767.2 1.0618 0.513457
196000 1.00352 8.0184 -6.6715 3763.53 1.06284 0.514489
197000 1.00532 7.92561 -6.66126 3771.57 1.06057 0.512821
198000 1.00305 8.02391 -6.64544 3770.66 1.06083 0.512367
199000 0.999207 8.04471 -6.66065 3765.3 1.06233 0.513815
200000 1.00066 7.99581 -6.6575 3768.61 1.0614 0.513159
201000 1.00524 7.98806 -6.64532 3773.04 1.06016 0.512062
202000 0.998548 8.04397 -6.66256 3764.68 1.06251 0.513703
203000 0.99825 7.94701 -6.67717 3765.5 1.06228 0.514313
204000 1.00115 7.96947 -6.66124 3768.96 1.0613 0.513283
205000 0.997333 7.95124 -6.66382 3768.92 1.06132 0.513287
206000 1.00432 7.93423 -6.66345 3770.26 1.06094 0.512955
207000 0.999271 8.00983 -6.6782 3762.04 1.06326 0.514566
208000 0.999128 7.87563 -6.66159 3773.74 1.05996 0.513285
209000 1.00277 7.90067 -6.66634 3771.03 1.06072 0.513896
210000 0.995038 8.00264 -6.65747 3768.16 1.06153 0.51337
211000 0.991507 7.91414 -6.67942 3766.21 1.06208 0.51428
212000 0.999397 7.89121 -6.66142 3773.14 1.06013 0.512881
213000 0.993274 7.96515 -6.64725 3772.73 1.06025 0.512317
214000 1.00337 7.92795 -6.65931 3771.91 1.06047 0.512941
215000 0.998721 7.93708 -6.64976 3773.96 1.0599 0.512449
216000 1.00153 7.86076 -6.65596 3775.93 1.05934 0.51239
217000 0.997629 7.91302 -6.66249 3771.43 1.06061 0.513116
218000 0.998029 7.85768 -6.67108 3771.75 1.06052 0.513818
219000 0.996106 7.81442 -6.67075 3774.23 1.05982 0.513099
220000 1.00222 7.89802 -6.66069 3773.11 1.06015 0.512617
221000 1.00428 7.84188 -6.66443 3774.92 1.05963 0.512876
222000 0.991711 7.82901 -6.66563 3774.56 1.05973 0.512371
223000 0.996245 7.91405 -6.65571 3773.28 1.06009 0.512594
224000 1.00567 7.81389 -6.64584 3781.83 1.05769 0.511823
225000 1.00028 7.85177 -6.65375 3777.25 1.05897 0.512515
226000 0.994899 7.83217 -6.66026 3776.17 1.05928 0.513112
227000 0.999437 7.85101 -6.65035 3778.14 1.05872 0.512234
228000 0.992802 7.79039 -6.67383 3774.29 1.05981 0.513663
229000 0.993758 7.82253 -6.6606 3776.59 1.05916 0.512856
230000 1.00335 7.83909 -6.64863 3779.49 1.05835 0.511949
231000 1.00222 7.72468 -6.65768 3782.65 1.05746 0.511995
232000 0.993986 7.79452 -6.66598 3776.54 1.05918 0.512988
233000 1.00154 7.85547 -6.65266 3777.39 1.05893 0.512708
234000 1.00095 7.66801 -6.6577 3785.92 1.05657 0.512105
235000 1.01091 7.75816 -6.64822 3784.25 1.05703 0.511623
236000 1.00137 7.79346 -6.65973 3778.41 1.05865 0.51267
237000 0.989284 7.73587 -6.66458 3779.73 1.05829 0.512238
238000 0.998036 7.74606 -6.65623 3781.8 1.0577 0.51203
239000 1.00551 7.72218 -6.66388 3781.29 1.05784 0.512573
240000 0.99876 7.69454 -6.65516 3784.85 1.05685 0.511747
241000 0.997118 7.72284 -6.66369 3781.05 1.05791 0.513065
242000 0.99932 7.73817 -6.65989 3781.27 1.05785 0.512098
243000 0.99631 7.69495 -6.65758 3783.89 1.05711 0.512254
244000 0.99806 7.67162 -6.66482 3783.33 1.05727 0.512051
245000 0.999661 7.72616 -6.66045 3781.6 1.05775 0.512335
246000 1.00139 7.65945 -6.65002 3788.41 1.05585 0.511009
247000 1.00528 7.66811 -6.65097 3787.75 1.05604 0.511866
248000 0.997918 7.70644 -6.65631 3783.93 1.0571 0.51212
249000 0.989624 7.72546 -6.66143 3780.98 1.05793 0.512219
250000 0.995516 7.60466 -6.65459 3789.56 1.05554 0.511175
251000 1.00241 7.66532 -6.65709 3786.15 1.05649 0.511683
252000 0.99964 7.64723 -6.65519 3787.33 1.05616 0.511462
253000 0.993242 7.56333 -6.67546 3785.56 1.05666 0.512783
254000 1.00129 7.67492 -6.65216 3786.84 1.05629 0.511649
255000 0.998149 7.63286 -6.66222 3786.3 1.05645 0.511721
256000 1.00516 7.58238 -6.6377 3796.4 1.05363 0.509909
257000 0.991691 7.64543 -6.667 3783.66 1.05718 0.512352
258000 0.997652 7.59952 -6.64113 3793.81 1.05435 0.510288
259000 0.994969 7.55647 -6.67475 3786.58 1.05637 0.512736
260000 0.997182 7.70566 -6.63904 3789.17 1.05565 0.510967
261000 1.00444 7.48608 -6.66345 3794.08 1.05428 0.511461
262000 1.00064 7.57775 -6.65315 3791.97 1.05487 0.510896
263000 1.00254 7.59894 -6.65814 3789.41 1.05558 0.511568
264000 1.00329 7.5141 -6.64708 3797 1.05347 0.510385
265000 1.00776 7.53612 -6.65601 3793.5 1.05444 0.511105
266000 0.993442 7.55772 -6.65271 3792.33 1.05476 0.510927
267000 1.00692 7.5471 -6.64584 3795.89 1.05378 0.510212
268000 0.996078 7.5207 -6.64643 3796.48 1.05361 0.510377
269000 0.989662 7.55125 -6.67831 3785.43 1.05668 0.512721
270000 1.0068 7.44924 -6.65886 3797.44 1.05334 0.511093
