# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
1000 0.574264 8.73238 -7.1397 3580.36 1.11757 0.468026
2000 0.911543 8.11566 -6.75177 3726.29 1.07357 0.453546
3000 1.00689 7.93779 -6.62942 3774.76 1.05969 0.448298
4000 1.0056 7.98244 -6.62544 3773.15 1.06013 0.448481
5000 0.997099 8.01089 -6.6433 3766.3 1.06205 0.449102
6000 0.996069 8.0199 -6.62816 3770.26 1.06094 0.448259
7000 1.00562 7.97075 -6.63058 3772.48 1.06031 0.448848
8000 0.999788 7.99782 -6.64036 3767.85 1.06162 0.448719
9000 1.00418 7.96416 -6.64377 3768.96 1.0613 0.448876
10000 1.00207 7.98944 -6.62541 3772.7 1.06025 0.448308
11000 1.00133 7.9917 -6.64062 3768.4 1.06146 0.449032
12000 0.998528 8.00253 -6.63663 3768.66 1.06139 0.448993
13000 1.00511 7.96779 -6.63138 3772.36 1.06034 0.448428
14000 0.994733 8.03113 -6.63113 3768.66 1.06139 0.448885
15000 1.00327 7.9808 -6.64135 3768.82 1.06134 0.448819
16000 1.00586 7.96793 -6.63236 3772.43 1.06032 0.448518
17000 0.996871 8.01386 -6.63512 3768.64 1.06139 0.44901
18000 0.999028 8.01647 -6.63349 3768.98 1.0613 0.448989
19000 1.00025 8.02876 -6.62282 3771.36 1.06063 0.448202
20000 1.00365 7.93332 -6.63929 3771.96 1.06046 0.448702
21000 0.993668 8.04205 -6.64192 3764.87 1.06246 0.449058
22000 1.00085 7.96749 -6.62893 3772.98 1.06017 0.448603
23000 0.993864 7.99065 -6.63368 3770.05 1.061 0.449038
24000 1.00648 8.11378 -6.62118 3767.92 1.06161 0.448435
25000 0.999262 7.89976 -6.6393 3773.52 1.06003 0.448608
26000 1.00262 8.00467 -6.63555 3769.44 1.06117 0.448811
27000 1.00873 7.99647 -6.62968 3771.5 1.06059 0.448424
28000 0.998601 7.95832 -6.63885 3770.5 1.06087 0.448547
29000 1.00413 8.0185 -6.63002 3770.07 1.06099 0.448822
30000 1.00356 7.96665 -6.64275 3769.14 1.06125 0.449003
31000 1.00111 8.02489 -6.62209 3772.05 1.06043 0.448099
32000 1.00529 7.97896 -6.62265 3774.55 1.05973 0.448313
33000 0.996211 8.04305 -6.63138 3768.13 1.06153 0.44857
34000 0.999489 8.02315 -6.62984 3769.66 1.0611 0.44892
35000 0.99401 7.99911 -6.63453 3769.24 1.06122 0.448816
36000 1.00207 8.00376 -6.63115 3770.47 1.06088 0.448506
37000 0.997936 7.97394 -6.64353 3768.4 1.06146 0.449242
38000 0.994128 8.04065 -6.63571 3766.73 1.06193 0.448753
39000 1.00222 7.95595 -6.62965 3773.51 1.06002 0.448667
40000 1.00231 8.01374 -6.63296 3769.22 1.06123 0.448665
41000 1.002 8.02525 -6.63493 3768.27 1.06151 0.44943
42000 0.997691 7.91876 -6.63946 3772.49 1.06032 0.44866
43000 1.00955 8.01689 -6.62724 3771.31 1.06064 0.448465
44000 0.990182 8.00941 -6.63982 3766.97 1.06186 0.449195
45000 1.00862 7.96083 -6.62662 3774.51 1.05974 0.448426
46000 0.994449 8.0626 -6.62863 3767.61 1.06168 0.449016
