# Time-averaged data for fix 3
# TimeStep c_Q6
5000000 0.335322
5010000 0.340483
5020000 0.335238
5030000 0.338361
5040000 0.34144
5050000 0.34019
5060000 0.338418
5070000 0.339146
5080000 0.339792
5090000 0.337857
5100000 0.338716
5110000 0.341203
5120000 0.337432
5130000 0.336324
5140000 0.339254
5150000 0.341878
5160000 0.341139
5170000 0.339851
5180000 0.338568
5190000 0.339045
5200000 0.337973
5210000 0.335254
5220000 0.340934
5230000 0.340595
5240000 0.341135
5250000 0.339869
5260000 0.341859
5270000 0.339356
5280000 0.338498
5290000 0.338553
5300000 0.339864
5310000 0.340514
5320000 0.339534
5330000 0.336327
5340000 0.335097
5350000 0.337976
5360000 0.333544
5370000 0.338085
5380000 0.334971
5390000 0.339785
5400000 0.337602
5410000 0.335913
5420000 0.338351
5430000 0.339696
5440000 0.333995
5450000 0.336965
5460000 0.33483
5470000 0.338546
5480000 0.334947
5490000 0.339934
5500000 0.34022
5510000 0.33344
5520000 0.334785
