# Time-averaged data for fix myfile
# TimeStep v_tot_pe v_tot_vol v_tot_density
1000000 1.36879 689.85 1.44959
1010000 1.17365 689.85 1.44959
1020000 1.15506 689.849 1.44959
1030000 1.16896 689.849 1.44959
1040000 1.25498 689.848 1.44959
1050000 1.26073 689.848 1.44959
1060000 1.22437 689.848 1.4496
1070000 1.08089 689.847 1.4496
1080000 1.04802 689.847 1.4496
1090000 1.21609 689.847 1.4496
1100000 1.18192 689.846 1.4496
1110000 1.17074 689.846 1.4496
1120000 1.27669 689.846 1.4496
1130000 1.22735 689.846 1.4496
1140000 1.27999 689.845 1.4496
1150000 1.12806 689.845 1.4496
1160000 1.23098 689.845 1.4496
1170000 1.1899 689.845 1.4496
1180000 1.26408 689.844 1.4496
1190000 1.28857 689.844 1.4496
1200000 1.31069 689.844 1.4496
1210000 1.19143 689.844 1.4496
1220000 1.27949 689.843 1.4496
1230000 1.12183 689.843 1.4496
1240000 1.3641 689.843 1.44961
1250000 1.31079 689.843 1.44961
1260000 1.25614 689.843 1.44961
1270000 1.30293 689.842 1.44961
1280000 1.21218 689.842 1.44961
1290000 1.13134 689.842 1.44961
1300000 1.13689 689.842 1.44961
1310000 1.295 689.842 1.44961
1320000 1.22518 689.842 1.44961
1330000 1.14952 689.842 1.44961
1340000 1.07676 689.841 1.44961
1350000 1.33708 689.841 1.44961
1360000 1.25203 689.841 1.44961
1370000 1.21467 689.841 1.44961
1380000 1.18699 689.841 1.44961
1390000 1.26631 689.841 1.44961
1400000 1.34538 689.841 1.44961
1410000 1.44086 689.84 1.44961
1420000 1.30433 689.84 1.44961
1430000 1.21139 689.84 1.44961
1440000 1.2519 689.84 1.44961
1450000 1.3029 689.84 1.44961
1460000 1.19444 689.84 1.44961
1470000 1.34886 689.84 1.44961
1480000 1.24309 689.84 1.44961
1490000 1.23504 689.84 1.44961
1500000 1.19271 689.84 1.44961
1510000 1.25854 689.839 1.44961
1520000 1.24868 689.839 1.44961
1530000 1.16012 689.839 1.44961
1540000 1.21744 689.839 1.44961
1550000 1.24783 689.839 1.44961
1560000 1.21328 689.839 1.44961
1570000 1.17421 689.839 1.44961
1580000 1.2782 689.839 1.44961
1590000 1.35468 689.839 1.44961
1600000 1.26559 689.839 1.44961
1610000 1.22142 689.839 1.44961
1620000 1.19292 689.839 1.44961
1630000 1.33878 689.838 1.44961
1640000 1.26103 689.838 1.44961
1650000 1.22542 689.838 1.44962
1660000 1.1787 689.838 1.44962
1670000 1.13662 689.838 1.44962
1680000 1.22433 689.838 1.44962
1690000 1.32266 689.838 1.44962
1700000 1.21913 689.838 1.44962
1710000 1.1975 689.838 1.44962
1720000 1.13411 689.838 1.44962
1730000 1.15026 689.838 1.44962
1740000 1.22273 689.838 1.44962
1750000 1.10215 689.838 1.44962
1760000 1.12342 689.838 1.44962
1770000 1.17034 689.837 1.44962
1780000 1.20948 689.837 1.44962
1790000 1.30735 689.837 1.44962
1800000 1.24901 689.837 1.44962
1810000 1.28051 689.837 1.44962
1820000 1.12176 689.837 1.44962
1830000 1.31458 689.837 1.44962
1840000 1.17215 689.837 1.44962
1850000 1.3491 689.837 1.44962
1860000 1.4148 689.837 1.44962
1870000 1.15465 689.837 1.44962
1880000 1.15575 689.837 1.44962
1890000 1.17932 689.837 1.44962
1900000 1.21467 689.837 1.44962
1910000 1.14059 689.837 1.44962
1920000 1.28235 689.837 1.44962
1930000 1.19426 689.836 1.44962
1940000 1.14118 689.836 1.44962
1950000 1.10182 689.836 1.44962
1960000 1.10637 689.836 1.44962
1970000 1.2471 689.836 1.44962
1980000 1.19921 689.836 1.44962
1990000 1.35286 689.836 1.44962
2000000 1.2828 689.836 1.44962
