# Time-averaged data for fix 3
# TimeStep c_Q6
1000000 0.265668
1010000 0.264355
1020000 0.264049
1030000 0.263839
1040000 0.264744
1050000 0.266978
1060000 0.261728
1070000 0.261318
1080000 0.26129
1090000 0.263404
1100000 0.264437
1110000 0.265608
1120000 0.26376
1130000 0.26363
1140000 0.263778
1150000 0.26297
1160000 0.265843
1170000 0.262988
1180000 0.264066
1190000 0.265532
1200000 0.26348
1210000 0.261206
1220000 0.263174
1230000 0.26494
1240000 0.264685
1250000 0.26239
1260000 0.263876
1270000 0.262111
1280000 0.262848
1290000 0.26569
1300000 0.263477
1310000 0.262255
1320000 0.263036
1330000 0.260329
1340000 0.263444
1350000 0.26478
1360000 0.262988
1370000 0.26521
1380000 0.262499
1390000 0.261562
1400000 0.26287
1410000 0.263582
1420000 0.265806
1430000 0.263159
1440000 0.264726
1450000 0.260314
1460000 0.262635
1470000 0.264617
1480000 0.262826
1490000 0.262592
1500000 0.266466
1510000 0.265766
1520000 0.267028
1530000 0.262941
1540000 0.263246
1550000 0.262184
1560000 0.263231
1570000 0.26368
1580000 0.26708
1590000 0.263727
1600000 0.265397
1610000 0.26272
1620000 0.262389
1630000 0.2631
1640000 0.26241
1650000 0.263387
1660000 0.266451
1670000 0.2642
1680000 0.265039
1690000 0.264915
1700000 0.263765
1710000 0.263387
1720000 0.262884
1730000 0.263303
1740000 0.26242
1750000 0.265762
1760000 0.264075
1770000 0.26147
1780000 0.26421
1790000 0.264367
1800000 0.263309
1810000 0.262096
1820000 0.262088
1830000 0.263665
1840000 0.262654
1850000 0.264777
1860000 0.265923
1870000 0.264688
1880000 0.266794
1890000 0.264993
1900000 0.262363
1910000 0.263472
1920000 0.262844
1930000 0.265181
1940000 0.264409
1950000 0.264503
1960000 0.263162
1970000 0.264728
1980000 0.265575
1990000 0.266541
2000000 0.263921
