# Time-averaged data for fix 3
# TimeStep c_Q6
1000000 0.0377404
1010000 0.0380025
1020000 0.038123
1030000 0.0375065
1040000 0.037693
1050000 0.0376955
1060000 0.0372533
1070000 0.037153
1080000 0.0372231
1090000 0.0372841
1100000 0.0372061
1110000 0.0377684
1120000 0.0375778
1130000 0.0376772
1140000 0.0375863
1150000 0.0376889
1160000 0.0372369
1170000 0.0376507
1180000 0.0375049
1190000 0.0379073
1200000 0.0376324
1210000 0.0375606
1220000 0.0378007
1230000 0.0370109
1240000 0.0380086
1250000 0.0375286
1260000 0.0375443
1270000 0.0368337
1280000 0.0372029
1290000 0.0377437
1300000 0.0370635
1310000 0.0379587
1320000 0.0379661
1330000 0.0375179
1340000 0.0374452
1350000 0.0379519
1360000 0.0379091
1370000 0.0380675
1380000 0.0373964
1390000 0.0379705
1400000 0.0382991
1410000 0.0379794
1420000 0.0378853
1430000 0.0380625
1440000 0.0376686
1450000 0.0371307
1460000 0.037565
1470000 0.0377418
1480000 0.0377455
1490000 0.0374624
1500000 0.0382632
1510000 0.0377001
1520000 0.0377465
1530000 0.0366781
1540000 0.0378639
1550000 0.0383252
1560000 0.0377964
1570000 0.0379186
1580000 0.0377968
1590000 0.0380795
1600000 0.0378301
1610000 0.0377299
1620000 0.037483
1630000 0.0380893
1640000 0.0383279
1650000 0.0373376
1660000 0.0378065
1670000 0.0378018
1680000 0.0373379
1690000 0.0376448
1700000 0.0375174
1710000 0.0379324
1720000 0.0378617
1730000 0.037618
1740000 0.0375193
1750000 0.0378295
1760000 0.0382281
1770000 0.0377488
1780000 0.0377007
1790000 0.0377648
1800000 0.0370271
1810000 0.0375068
1820000 0.0377734
1830000 0.037773
1840000 0.0373634
1850000 0.0375582
1860000 0.0377125
1870000 0.037637
1880000 0.0378191
1890000 0.0372103
1900000 0.0376465
1910000 0.0372551
1920000 0.0377921
1930000 0.0370261
1940000 0.0376673
1950000 0.0375704
1960000 0.0376694
1970000 0.0378634
1980000 0.0376766
1990000 0.0380229
2000000 0.0378823
