# Time-averaged data for fix 4
# TimeStep c_Press
5000000 10.1994
5010000 10.4908
5020000 10.5351
5030000 10.7747
5040000 9.83029
5050000 10.171
5060000 10.1003
5070000 10.0837
5080000 9.84046
5090000 10.274
5100000 10.1612
5110000 10.3403
5120000 10.1609
5130000 10.0476
5140000 10.2346
5150000 9.6233
5160000 10.0481
5170000 9.92444
5180000 10.4075
5190000 10.5232
5200000 10.2932
5210000 10.3823
5220000 10.119
5230000 9.63266
5240000 10.0751
5250000 10.2577
5260000 10.8111
5270000 10.4589
5280000 10.2074
5290000 10.4391
5300000 10.6773
5310000 10.7883
5320000 10.6204
5330000 10.6688
5340000 10.9629
5350000 10.9008
5360000 10.965
5370000 11.5195
5380000 10.8157
5390000 10.9562
5400000 10.7305
5410000 11.2268
5420000 10.966
5430000 11.3326
5440000 11.6739
5450000 11.5734
5460000 11.2999
5470000 11.3523
5480000 11.6878
5490000 11.3113
5500000 11.2925
5510000 11.7365
5520000 11.5345
